time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-14T23:58:24.522Z,27.4122,34.0681,10,4.2,mb,60,153,4.092,0.74,us,us6000k4nd,2023-06-17T21:36:56.040Z,"30 km NE of Hurghada, Egypt",earthquake,10.08,1.946,0.092,33,reviewed,us,us
2022-12-27T00:11:02.169Z,28.1144,33.3703,10,4.7,mb,112,62,2.079,0.69,us,us6000jbvn,2023-03-07T18:59:51.040Z,"28 km WSW of El-Tor, Egypt",earthquake,8.27,1.868,0.054,103,reviewed,us,us
2020-06-16T14:30:26.687Z,27.3437,34.7204,10,5.5,mww,,30,2.326,0.93,us,us6000acva,2020-08-22T19:14:57.040Z,"74 km SSE of Sharm el-Sheikh, Egypt",earthquake,6.4,1.6,0.062,25,reviewed,us,us
2020-04-05T05:04:04.389Z,28.9129,34.5466,10,4.1,mb,,185,0.833,0.68,us,us70008sgr,2020-06-21T00:55:02.040Z,"18 km SW of Nuwaybi‘a, Egypt",earthquake,5.6,1.9,0.158,11,reviewed,us,us
2020-01-18T21:46:14.437Z,26.9764,34.6634,10,4.4,mb,,82,2.695,0.91,us,us60007a9c,2020-06-28T21:37:06.187Z,"75 km E of Makadi Bay, Egypt",earthquake,5.8,1.7,0.092,34,reviewed,us,us
2019-11-19T23:04:29.209Z,27.6261,34.5737,10,4.4,mb,,207,2.063,0.76,us,us70006dpe,2020-02-14T22:02:23.040Z,"40 km SE of Sharm el-Sheikh, Egypt",earthquake,9.7,2,0.123,19,reviewed,us,us
2016-11-29T17:01:13.290Z,28.5557,34.458,14.26,4.4,mb,,86,1.191,1.2,us,us10007d4k,2017-02-23T00:11:53.040Z,"8 km NNW of Dahab, Egypt",earthquake,7,4.3,0.087,38,reviewed,us,us
2016-05-16T01:45:59.740Z,28.6516,34.6194,10,5,mb,,56,1.055,1.1,us,us10005hn2,2022-05-03T18:52:27.389Z,"22 km NNE of Dahab, Egypt",earthquake,6.4,1.8,0.051,124,reviewed,us,us
2015-07-08T02:15:28.870Z,28.7532,34.7315,14.17,3.7,mb,,295,2.642,0.51,us,us20002w5q,2015-09-30T00:21:02.040Z,"33 km SSE of Nuwaybi‘a, Egypt",earthquake,16.1,9.9,0.224,5,reviewed,us,us
2015-06-27T15:34:03.960Z,29.0402,34.6672,22,5.5,mwb,,57,2.386,0.76,us,us10002m3f,2022-07-31T15:22:07.706Z,"0 km SSE of Nuwaybi‘a, Egypt",earthquake,8.2,1.9,0.049,40,reviewed,us,us
