Date,EventID,Magnitude,Date_decimal,Longitude,Latitude,Depth
26/02/1990 16:28:12,238002,4,1990.155305,34,41,1
5/3/1990 2:59,238004,4.1,1990.172945,40.71,38.47,8
5/3/1990 17:37,238005,4,1990.174614,36,41,1
21/03/1990 11:10:40,238006,4,1990.217714,38,40,1
20/04/1990 23:30:05,238027,5.2,1990.301313,40,39.81,21
21/04/1990 15:12:31,238030,4,1990.303106,29,40,9
22/04/1990 00:49:06,238031,4.2,1990.304203,40.02,39.81,21
28/04/1990 19:03:09,238034,4,1990.322723,33,41,1
3/5/1990 21:05,238035,5,1990.336654,38,40,1
24/05/1990 05:49:09,238046,5,1990.392445,28,40,8
1/6/1990 19:27,238063,4,1990.415921,29,40,21
7/6/1990 21:02,238070,4,1990.432539,37,38,6
8/6/1990 1:47,238072,4,1990.433082,30.4,40.49,1
8/6/1990 16:23,238074,4,1990.434747,29,40,8
10/6/1990 11:36,238081,4.3,1990.439682,29.46,41.24,5
14/06/1990 07:46:39,238095,4,1990.450203,40,40,15
14/06/1990 17:38:52,238100,4,1990.45133,39,39,22
18/06/1990 19:27:06,238109,4,1990.462494,31,41,8
29/06/1990 18:01:20,238131,4,1990.492468,30,40,2
5/7/1990 3:57,238136,4,1990.507302,31,37,7
11/7/1990 23:06,238141,4,1990.525926,30,41,9
13/07/1990 09:41:56,238142,4,1990.529874,29,40,8
18/07/1990 11:58:44,238148,5,1990.543833,29.51,37.5,8
18/07/1990 15:32:00,235581,5.1,1990.544239,38,38,5
2/8/1990 12:47,238165,4,1990.585022,37,40,1
5/8/1990 18:31,238171,4.1,1990.593896,33.98,40.21,11
7/8/1990 13:09,238179,4,1990.598762,30,37,8
10/8/1990 11:30,238189,4,1990.606793,36,40,35
3/9/1990 0:04,238235,4.3,1990.671242,29.5,37.01,11
3/9/1990 14:16,238236,4,1990.672862,29,40,11
13/09/1990 22:05:13,238246,4.1,1990.701151,28.51,39.52,9
18/09/1990 01:02:44,238247,4,1990.712448,29,40,1
24/09/1990 21:45:25,238251,4.2,1990.731251,30.38,37.12,13
7/10/1990 21:25,238272,4,1990.766829,28,40,7
24/10/1990 11:16:42,238280,4,1990.812246,30.21,39.81,8
21/11/1990 14:02:56,238290,4.1,1990.889275,29.25,37.56,17
17/12/1990 06:47:30,238300,4,1990.959679,31,40,8
19/12/1990 09:46:47,238301,4.4,1990.9655,28.01,38.61,9
21/12/1990 03:30:25,238303,4,1990.970263,41,40,26
1/1/1991 2:14,238310,4,1991.000256,41.52,39.21,8
1/1/1991 2:14,238309,4,1991.000256,41.52,39.21,8
7/1/1991 5:15,238323,4.1,1991.017038,28.61,40.7,8
10/1/1991 22:55,238326,4.3,1991.027274,29.49,37.02,7
17/01/1991 08:14:57,238334,4,1991.044777,35,41,8
25/01/1991 15:19:27,238347,4,1991.067503,36,39,11
30/01/1991 06:30:37,238349,4,1991.080195,34,40,13
2/2/1991 9:12,235978,4,1991.088722,36,40,35
2/2/1991 19:14,235980,4,1991.089867,37,40,7
12/2/1991 9:54,235999,4.8,1991.116201,28.91,40.8,6
26/02/1991 22:30:50,236006,4.2,1991.155995,26.71,38.52,20
3/3/1991 8:39,236021,4.6,1991.168112,29.01,40.6,8
11/3/1991 18:33,236042,4.5,1991.19116,30.83,37.08,24
6/4/1991 11:28,236074,4.2,1991.261584,28.42,35.81,11
10/4/1991 1:08,236082,4.9,1991.271364,36.3,37.46,13
11/4/1991 17:25,236083,4,1991.275962,39,38.41,11
18/04/1991 06:56:30,236099,4,1991.293943,26.7,37.19,10
18/04/1991 11:56:57,236100,4.2,1991.294515,26.51,39.22,12
