latitude,longitude,depth,mag,magType,(Mw),nst,gap,dmin,rms,place,magNst,month,day,year,hour,minute,second,Exact_Date,mag2
27.4122,34.0681,10,4.2,mb,4.19306,60,153,4.092,0.74,Eil,33,4,14,2023,23,58,24.522,2023.291664,
30.1565,32.3957,10,3.8,mb,3.70934,16,252,4.856,0.43,"23 km NNW of Suez, Egypt",6,2,23,2023,22,25,39.039,2023.149818,
28.1144,33.3703,10,4.7,mb,4.79771,112,62,2.079,0.69,"28 km WSW of El-Tor, Egypt",103,12,27,2022,0,11,2.169,2022.991688,
29.3644,31.5521,10,4.3,mb,4.31399,,115,5.78,0.8,"33 km E of Al W?si?ah, Egypt",15,2,1,2022,9,1,18.721,2022.087155,
30.2013,35.0504,10,4.1,mb,4.07213,,108,0.536,1,"40 km W of A? ?ayyibah, Jordan",24,6,15,2021,23,8,52.705,2021.461012,
29.5749,34.9527,10,3.9,mb,3.83027,,148,1.802,0.74,"1 km NNE of Eilat, Egypt",8,12,15,2020,2,30,9.935,2020.958623,
32.6717,29.7745,10,4.1,mb,4.07213,,171,3.555,0.93,"153 km NNW of Rosetta, Egypt",17,11,24,2020,22,18,16.942,2020.902582,
33.0748,27.5506,10,4.2,mb,4.19306,,178,2.487,0.65,"193 km N of Mersa Matruh, Egypt",19,4,28,2020,13,1,36.79,2020.329286,
28.9129,34.5466,10,4.1,mb,4.07213,,185,0.833,0.68,18 km SW of Nuwaybiï¿½ï¿½ï¿½ï¿,11,4,5,2020,5,4,4.389,2020.264475,
32.7294,34.6646,10,4.5,mb,4.55585,,105,1.615,0.52,"26 km W of Atlit, Palestine",12,2,6,2020,4,53,51.535,2020.100567,
26.9764,34.6634,10,4.4,mb,4.43492,,82,2.695,0.91,"75 km E of Makadi Bay, Egypt",34,1,18,2020,21,46,14.437,2020.05252,
27.6261,34.5737,10,4.4,mb,4.43492,,207,2.063,0.76,"40 km SE of Sharm el-Sheikh, Egypt",19,11,19,2019,23,4,29.209,2019.888782,
32.2775,30.7557,21.06,4.4,mb,4.43492,,176,3.432,0.61,"102 km NNE of Rosetta, Egypt",13,7,5,2019,14,18,59.811,2019.515546,
32.806,32.6513,10,4.8,mb,4.91864,,49,2.222,0.83,162 km NNE of ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,209,5,15,2019,16,53,46.251,2019.376956,
32.8172,27.3198,10,4.1,mb,4.07213,,82,2.726,0.75,"162 km N of Mersa Matruh, Egypt",34,10,8,2017,22,14,45.43,2017.774797,
30.2032,31.8314,10,4.3,mb,4.31399,,123,3.397,1.11,"35 km SE of Bilbays, Egypt",31,1,21,2017,16,54,23.05,2017.06029,
32.3232,30.9447,10,4.4,mb,4.43492,,115,3.299,0.98,"113 km N of Al ??m?l, Egypt",44,12,26,2016,5,53,31.34,2016.989571,
28.5557,34.458,14.26,4.4,mb,4.43492,,86,1.191,1.2,"8 km NNW of Dahab, Egypt",38,11,29,2016,17,1,13.29,2016.915859,
28.6516,34.6194,10,5,mb,5.1605,,56,1.055,1.1,"22 km NNE of Dahab, Egypt",124,5,16,2016,1,45,59.74,2016.377982,
30.6289,28.5213,13.94,4.5,mb,4.55585,,121,1.318,0.53,47 km WSW of Al ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,50,9,3,2015,1,44,40.58,2015.675202,
28.7532,34.7315,14.17,3.7,mb,3.58841,,295,2.642,0.51,33 km SSE of Nuwaybiï¿½ï¿½ï¿½ï¿,5,7,8,2015,2,15,28.87,2015.522484,
31.9702,29.9986,14.13,3.8,mb,3.70934,,89,2.274,1.26,"74 km NNW of Rosetta, Egypt",10,3,1,2015,12,10,46.89,2015.170854,
31.8897,31.0969,10,4.3,mb,4.31399,,61,3.587,1.48,"64 km N of Al ??m?l, Egypt",35,2,27,2015,12,53,8.15,2015.159825,
29.8676,32.4144,10,4.1,mb,4.07213,,41,0.286,0.94,"15 km SW of Suez, Egypt",11,7,22,2014,3,3,43.14,2014.561466,
30.1728,32.4114,10,4.2,mb,4.19306,,144,2.261,1.16,"24 km NNW of Suez, Egypt",27,7,18,2014,20,1,28.56,2014.552318,
27.4077,34.6904,13.85,4,mb,3.9512,,209,2.265,0.8,"66 km SSE of Sharm el-Sheikh, Egypt",10,3,15,2014,11,57,48.3,2014.209718,
